stopId,lon,tag,title,lat,directions,lines,directionPerLine,id
14617,-79.41106,14141,Bathurst Station,43.6660599,North,"['7', '307']","['North', 'North']",14617
092,-79.41223,3195,Bathurst St At Barton Ave,43.66802,North,['7'],['North'],092
219,-79.4130199,5400,Bathurst St At Wells St,43.6699999,North,"['7', '307']","['North', 'North']",219
128,-79.4142199,5475,Bathurst St At Dupont St,43.6730499,North,"['7', '307']","['North', 'North']",128
153,-79.4149899,1857,Bathurst St At Bridgman Ave,43.6749899,North,"['7', '307']","['North', 'North']",153
117,-79.41559,4858,Bathurst St At Davenport Rd,43.67651,North,"['7', '307']","['North', 'North']",117
180,-79.41685,6550,Bathurst St At Nina St,43.67972,North,"['7', '307']","['North', 'North']",180
9951,-79.41807,14801,Bathurst Street At St Clair Ave West,43.68275,North,"['7', '307']","['North', 'North']",9951
211,-79.41907,6335,Bathurst St At Tichester Rd,43.6852999,North,"['7', '307']","['North', 'North']",211
168,-79.4197,9464,Bathurst St At Lonsdale Rd,43.68686,North,"['7', '307']","['North', 'North']",168
101,-79.42169,5668,Bathurst St At Burton Rd,43.69177,North,"['7', '307']","['North', 'North']",101
132,-79.4230899,4889,Bathurst St At Elderwood Dr,43.6951599,North,"['7', '307']","['North', 'North']",132
087,-79.4241799,6297,Bathurst St At Ava Rd,43.6978499,North,"['7', '307']","['North', 'North']",087
130,-79.42547,6993,Bathurst St At Eglinton Ave West North Side,43.7014499,"North, South","['7', '33', '307']","['North', 'South', 'North']",130
214,-79.42573,9198,Bathurst St At Vesta Dr,43.7031499,"North, South","['7', '33', '307']","['North', 'South', 'North']",214
195,-79.42619,3099,Bathurst St At Roselawn Ave,43.7050599,North,"['7', '307']","['North', 'North']",195
098,-79.4268899,5979,Bathurst St At Briar Hill Ave,43.7077499,"North, West","['7', '14', '307']","['North', 'West', 'North']",098
171,-79.42753,4324,Bathurst St At Lytton Blvd,43.71038,"North, West","['7', '14', '307']","['North', 'West', 'North']",171
143,-79.42798,386,Bathurst St At Glencairn Ave,43.71225,North,"['7', '307']","['North', 'North']",143
145,-79.4284499,4934,Bathurst St At Glengrove Ave,43.7141099,North,"['7', '307']","['North', 'North']",145
197,-79.42883,7973,Bathurst St At Shelborne Ave,43.71584,North,"['7', '307']","['North', 'North']",197
