stopId,stopPublicId,name,coordinate,type,flag,stopAccessibilityMask,lines,directionPerLine,id
4453,4453,RICHMOND HILL CENTRE PLATFORM 5,"{'lat': 43.839817, 'lon': -79.425239}",N,,1,"['001', '001', '360', '360']","['EASTBOUND', 'WESTBOUND', 'NORTHBOUND', 'SOUTHBOUND']",4453
2351,2351,YONGE ST / HIGH TECH RD,"{'lat': 43.841201, 'lon': -79.429968}",S,,1,"['001', '098|099', '099']","['EASTBOUND', 'NORTHBOUND', 'NORTHBOUND']",2351
1029,1029,HIGH TECH RD / RED MAPLE RD,"{'lat': 43.841807, 'lon': -79.423364}",S,,1,['001'],['EASTBOUND'],1029
4255,4255,HIGH TECH RD / NAHANNI DR,"{'lat': 43.842451, 'lon': -79.420176}",S,,1,['001'],['EASTBOUND'],4255
4257,4257,HIGH TECH RD / FERRIS ST,"{'lat': 43.842623, 'lon': -79.416696}",S,,0,['001'],['EASTBOUND'],4257
4256,4256,HIGH TECH RD / SILVER LINDEN DR,"{'lat': 43.842757, 'lon': -79.415058}",S,,0,['001'],['EASTBOUND'],4256
4922,4922,HIGH TECH RD / FAR NIENTE ST,"{'lat': 43.843923, 'lon': -79.411367}",S,,1,"['001', '444']","['EASTBOUND', 'AFTERNOON']",4922
16664,6632,HIGH TECH RD / BAYVIEW AV,"{'lat': 43.844946, 'lon': -79.408165}",S,,1,['001'],['EASTBOUND'],6632
667,9724,HWY 7 / BAYVIEW,"{'lat': 43.840071, 'lon': -79.405542}",N,,1,"['001', '603', '603A']","['EASTBOUND', 'EASTBOUND', 'EASTBOUND']",9724
4161,4161,HIGHWAY 7 / SOUTH PARK RD,"{'lat': 43.840513, 'lon': -79.398532}",S,,1,['001'],['EASTBOUND'],4161
15870,6145,HIGHWAY 7 / SADDLE CREEK DR,"{'lat': 43.841219, 'lon': -79.39534}",S,,1,['001'],['EASTBOUND'],6145
16674,6636,HIGHWAY 7 / TIMES AV,"{'lat': 43.841994, 'lon': -79.392058}",S,,1,['001'],['EASTBOUND'],6636
4162,4162,HIGHWAY 7 / POND DR,"{'lat': 43.842582, 'lon': -79.3896}",S,,1,['001'],['EASTBOUND'],4162
16675,6637,HIGHWAY 7 / COMMERCE VALLEY DR WEST,"{'lat': 43.843161, 'lon': -79.386826}",S,,1,['001'],['EASTBOUND'],6637
16666,6634,HIGHWAY 7 / LESLIE ST,"{'lat': 43.84415, 'lon': -79.382711}",N,,1,"['001', '090B', '090B', '300']","['EASTBOUND', 'NORTHBOUND', 'SOUTHBOUND', 'MORNING']",6634
16676,6638,HIGHWAY 7 / COMMERCE VALLEY DR EAST,"{'lat': 43.845217, 'lon': -79.37832}",S,,1,"['001', '090B', '090B', '300']","['EASTBOUND', 'NORTHBOUND', 'SOUTHBOUND', 'MORNING']",6638
16886,6788,HIGHWAY 7 / ALLSTATE PKWY,"{'lat': 43.848339, 'lon': -79.364532}",S,,1,"['001', '300']","['EASTBOUND', 'MORNING']",6788
4163,4163,HIGHWAY 7 / COCHRANE DR,"{'lat': 43.848961, 'lon': -79.361786}",S,,1,"['001', '300']","['EASTBOUND', 'MORNING']",4163
3217,3217,COCHRANE DR / HIGHWAY 7,"{'lat': 43.84881, 'lon': -79.361105}",N,,1,"['001', '024']","['EASTBOUND', 'NORTHBOUND']",3217
16888,6790,HIGHWAY 7 / WOODBINE AV,"{'lat': 43.849538, 'lon': -79.35845}",N,,1,"['001', '300']","['EASTBOUND', 'MORNING']",6790
16890,6792,HIGHWAY 7 / MONTGOMERY CT,"{'lat': 43.850916, 'lon': -79.352661}",S,,1,"['001', '300']","['EASTBOUND', 'MORNING']",6792
4164,4164,HIGHWAY 7 / RODICK RD,"{'lat': 43.852215, 'lon': -79.346305}",S,,1,"['001', '300']","['EASTBOUND', 'MORNING']",4164
16500,6488,HIGHWAY 7 / TOWN CENTRE BLVD,"{'lat': 43.853825, 'lon': -79.339497}",S,,1,"['001', '300']","['EASTBOUND', 'MORNING']",6488
17468,9865,HIGHWAY 7 / WARDEN AV,"{'lat': 43.855795, 'lon': -79.332889}",N,,0,"['001', '603']","['EASTBOUND', 'EASTBOUND']",9865
4166,4166,HIGHWAY 7 / VERCLAIRE GATE,"{'lat': 43.856665, 'lon': -79.329443}",S,,1,['001'],['EASTBOUND'],4166
4167,4167,HIGHWAY 7 / VILLAGE PKWY,"{'lat': 43.857719, 'lon': -79.324775}",S,,1,"['001', '017A']","['EASTBOUND', 'SOUTHBOUND']",4167
17470,9867,HIGHWAY 7 / VILLAGE PKWY,"{'lat': 43.857991, 'lon': -79.323604}",S,,1,"['001', '603']","['EASTBOUND', 'EASTBOUND']",9867
